Brand,Bike Model,Model Year,Price (Rs),City,State,Brand_Origin,Model_Type,Finance_Available(Yes/No)
TVS,TVS NTORQ 125 Race Edition,2021,65000,Surat, Gujarat,India,Sports,Yes
Bajaj,Bajaj Pulsar NS 160 BS6,2021,90000,Hyderabad, Telangana,India,Commuter,Yes
Bajaj,Bajaj Pulsar NS125 BS6,2024,105000,Muzaffarnagar, Uttar Pradesh,India,Electric,Yes
Royal Enfield,Royal Enfield Thunderbird,2016,120000,Navi Mumbai, Maharashtra,India,Commuter,Yes
Benelli,Benelli TRK 251,2023,210000,Salem, Tamil Nadu,Italy,Commuter,Yes
Royal Enfield,Royal Enfield Thunderbird 350,2019,110000,Pune, Maharashtra,India,Commuter,Yes
Ather Energy,Ather 450X Gen 3,2023,125000,Bangalore, Karnataka,India,Commuter,Yes
Yamaha,Yamaha MT-15 BS6,2024,175000,Kurnool, Andhra Pradesh,Japan,Commuter,Yes
Bajaj,Bajaj Dominar 400 Disc,2019,95000,Bangalore, Karnataka,India,Commuter,Yes
Suzuki,Suzuki GS 150R,2025,130000,North East Delhi, Delhi,Japan,Sports,Yes
Bajaj,Bajaj Pulsar 150 DTSi,2015,30000,Thane, Maharashtra,India,Commuter,Yes
QJ,QJ Motor SRC500,2024,225000,Bangalore, Karnataka,China,Sports,Yes
Royal Enfield,Royal Enfield Super Meteor 650,2023,380000,Indore, Madhya Pradesh,India,Cruiser,Yes
Royal Enfield,Royal Enfield Classic 350 Dual Channel ABS BS IV,2019,130000,South East Delhi, Delhi,India,Cruiser,Yes
TVS,TVS iQube Electric,2024,85000,Subarnapur, Orissa,India,Electric,Yes
Suzuki,Suzuki Gixxer 150,2017,55000,Ahmedabad, Gujarat,Japan,Commuter,Yes
Hero,Hero Electric Photon,2022,80000,Maharajganj, Uttar Pradesh,India,Electric,Yes
Hero Cycles,Bicycle Decathlon,2023,4000,Bangalore, Karnataka,India,Commuter,No
Yamaha,Yamaha FZ FI V3 BS6,2019,60000,Indore, Madhya Pradesh,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Thunderbird X 350,2019,130000,Mysore, Karnataka,India,Commuter,Yes
Bajaj,Bajaj Pulsar RS 200 ABS,2016,55000,Ahmedabad, Gujarat,India,Sports,Yes
Benling India,Benling Aura Li,2022,15000,Cuttack, Orissa,China,Commuter,Yes
Bajaj,Bajaj Chetak Premium,2022,65000,Bangalore, Karnataka,India,Commuter,Yes
TVS,TVS Apache RTR 200 4V 2020,2019,70000,Raigad, Maharashtra,India,Commuter,Yes
Royal Enfield,Royal Enfield Bullet Standard 350,2021,180000,Haridwar, Utarakhand,India,Cruiser,Yes
Bajaj,Bajaj Avenger Cruise 220,2011,35000,Lucknow, Uttar Pradesh,India,Cruiser,Yes
TVS,TVS Apache RTR 200 4V,2018,50000,Palghar, Maharashtra,India,Commuter,Yes
Hero,Hero Xtreme 125R,2024,85000,Rohtak, Haryana,India,Commuter,Yes
Honda,Honda CB Shine SP,2017,29999,Munger, Bihar,Japan,Commuter,Yes
Suzuki,Suzuki Gixxer 150,2015,25000,Chennai, Tamil Nadu,Japan,Commuter,Yes
Yamaha,Yamaha MT-15 Ver 2.0,2024,170000,Warangal, Telangana,Japan,Commuter,Yes
Yamaha,Yamaha Crux,2015,15000,Chennai, Tamil Nadu,Japan,Commuter,Yes
Yamaha,Yamaha YZF R15 S V3.0,2022,140000,North 24 Parganas, West Bengal,Japan,Sports,Yes
Royal Enfield,Royal Enfield Classic 350,2017,100000,Dehradun, Utarakhand,India,Cruiser,Yes
Yezdi,Yezdi Roadster Dark,2022,190000,Navi Mumbai, Maharashtra,India,Cruiser,Yes
KTM,KTM Duke 200,2016,90000,Ahmedabad, Gujarat,Austria,Sports,Yes
TVS,TVS Apache RTR 160 4V Special Edition,2023,120000,South West Delhi, Delhi,India,Commuter,Yes
Ola Electric,Ola S1 Pro Gen2,2023,105000,Thane, Maharashtra,India,Electric,Yes
Bajaj,Bajaj Pulsar NS200,2013,48000,Bangalore, Karnataka,India,Commuter,Yes
Royal Enfield,Royal Enfield Bullet 350 ES,2021,125000,Hyderabad, Telangana,India,Cruiser,Yes
Bajaj,Bajaj Dominar 400 ABS BS6,2021,160000,Mumbai, Maharashtra,India,Commuter,Yes
Bajaj,Bajaj Pulsar N160 Dual Channel ABS,2025,140000,Mumbai, Maharashtra,India,Commuter,Yes
Jawa,Jawa 42 Bobber Dual Channel ABS,2023,185000,Coimbatore, Tamil Nadu,Czech Republic,Cruiser,Yes
Hero,Hero HF Deluxe BS6,2023,63000,Pune, Maharashtra,India,Commuter,Yes
Honda,Honda Activa 3G,2015,20000,Noida, Uttar Pradesh,Japan,Scooter,Yes
Honda,Honda SP125,2022,65000,Sundergarh, Orissa,Japan,Commuter,Yes
Hero,Hero Destini Prime,2024,72000,Bangalore, Karnataka,India,Commuter,Yes
Royal Enfield,Royal Enfield Classic 350 Redditch Red,2022,180000,North East Delhi, Delhi,India,Cruiser,Yes
Bajaj,Bajaj Dominar 400,2018,65000,Chengalpattu, Tamil Nadu,India,Commuter,Yes
TVS,TVS NTORQ 125 Race Edition,2025,80000,Bangalore, Karnataka,India,Sports,Yes
Royal Enfield,Royal Enfield Bullet Standard 350,2019,100000,Patna, Bihar,India,Cruiser,Yes
Bajaj,Bajaj Discover 100,2011,26999,Bangalore, Karnataka,India,Commuter,Yes
Royal Enfield,Royal Enfield Thunderbird X 350,2018,125000,Bangalore, Karnataka,India,Commuter,Yes
Yezdi,Yezdi Roadster Dark,2022,180000,Chennai, Tamil Nadu,India,Cruiser,Yes
Hero,Hero Super Splendor BS6,2021,45000,Dehradun, Utarakhand,India,Commuter,Yes
Triumph,Triumph Scrambler 400 X,2025,290000,Palakkad, Kerala,UK,Adventure,Yes
Ola Electric,Ola S1 Pro Gen2,2023,120000,Neemuch, Madhya Pradesh,India,Electric,Yes
Bajaj,Bajaj Dominar 250 2025,2025,180000,Pune, Maharashtra,India,Commuter,Yes
Ola Electric,Ola S1X Plus,2024,80000,Bangalore, Karnataka,India,Electric,Yes
TVS,TVS Sport BS6,2021,38000,Ghazipur, Uttar Pradesh,India,Commuter,Yes
Hyosung,Hyosung GT250RC,2016,99000,Hyderabad, Telangana,South Korea,Sports,Yes
Pure EV,Pure EV Etrance Neo,2022,42000,Paschim Bardhaman, West Bengal,India,Electric,Yes
Bajaj,Bajaj Freedom 125 NG04 Disc LED,2024,110000,Bangalore, Karnataka,India,Commuter,Yes
Ola Electric,Ola S1X 4 kWh,2022,85000,Patna, Bihar,India,Electric,Yes
Suzuki,Suzuki Access 125,2016,51500,Bangalore, Karnataka,Japan,Commuter,Yes
Honda,Honda CBF Stunner,2013,15000,West Delhi, Delhi,Japan,Commuter,Yes
Ola Electric,Ola S1 Pro,2021,55000,Mumbai, Maharashtra,India,Electric,Yes
Suzuki,Suzuki Access 125,2014,18000,Pune, Maharashtra,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Classic 350,2015,99000,Hoshangabad, Madhya Pradesh,India,Cruiser,Yes
KTM,KTM Duke 200,2016,100000,Guntur, Andhra Pradesh,Austria,Sports,Yes
Bajaj,Bajaj Pulsar NS 160 BS6,2023,125000,Hyderabad, Telangana,India,Commuter,Yes
Jawa,Jawa  Jawa 42 Dual Channel ABS,2023,125000,Mohali, Punjab,Czech Republic,Commuter,Yes
Royal Enfield,Royal Enfield Himalayan 450,2024,290000,Guwahati, Assam,India,Adventure,Yes
Yamaha,Yamaha FZ-S FI V2,2018,60000,Pathankot, Punjab,Japan,Commuter,Yes
Bajaj,Bajaj Pulsar 150,2015,32000,Dhanbad, Jharkhand,India,Commuter,Yes
Yamaha,Yamaha YZF R15,2022,145000,Bangalore, Karnataka,Japan,Sports,Yes
Royal Enfield,Royal Enfield Classic 350,2018,130000,Moradabad, Uttar Pradesh,India,Cruiser,Yes
Yamaha,Yamaha FZ-S,2012,24500,New Delhi, Delhi,Japan,Commuter,Yes
Bajaj,Bajaj Pulsar 150 DTSi,2010,45000,South West Delhi, Delhi,India,Commuter,Yes
Jawa,Jawa Jawa,2020,120000,Trivandrum, Kerala,Czech Republic,Commuter,Yes
Hero,Hero Passion Pro i3s,2024,67000,Vadodara, Gujarat,India,Commuter,Yes
Hero,Hero Splendor Plus,2017,30000,Ahmedabad, Gujarat,India,Commuter,Yes
Honda,Honda Unicorn,2011,30000,Chennai, Tamil Nadu,Japan,Commuter,Yes
Honda,Honda CBR 250R,2013,50000,Mumbai, Maharashtra,Japan,Commuter,Yes
Honda,Honda CB Unicorn 160,2015,40000,Bangalore, Karnataka,Japan,Commuter,Yes
Husqvarna,Husqvarna Svartpilen 250,2020,80000,Hyderabad, Telangana,Sweden,Commuter,Yes
Honda,Honda Livo Drum,2016,30000,South East Delhi, Delhi,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Thunderbird X 350,2019,95000,Chennai, Tamil Nadu,India,Commuter,Yes
Honda,Honda Activa Electric,2025,90000,Bangalore, Karnataka,Japan,Scooter,Yes
Royal Enfield,Royal Enfield Meteor 350,2022,195000,Noida, Uttar Pradesh,India,Cruiser,Yes
Honda,Honda CB200X 2023,2023,120000,Mumbai, Maharashtra,Japan,Commuter,Yes
Suzuki,Suzuki Intruder 150,2019,50000,Gurgaon, Haryana,Japan,Commuter,Yes
Ola Electric,Ola S1 Pro,2024,99000,Bhubaneshwar, Orissa,India,Electric,Yes
Honda,Honda Unicorn,2014,50000,Tiruvallur, Tamil Nadu,Japan,Commuter,Yes
Bajaj,Bajaj Dominar 400,2018,110000,Kolkata, West Bengal,India,Commuter,Yes
Honda,Honda Aviator,2012,28000,Pune, Maharashtra,Japan,Commuter,Yes
Yamaha,Yamaha R15 V4,2023,150000,Bangalore, Karnataka,Japan,Sports,Yes
Honda,Honda Activa 125,2019,45000,South West Delhi, Delhi,Japan,Scooter,Yes
Vespa,Vespa VXL 125 BS6,2024,110000,Virudhunagar, Tamil Nadu,Italy,Scooter,Yes
Honda,Honda Activa 6G Dlx,2020,60000,Kolhapur, Maharashtra,Japan,Scooter,Yes
TVS,TVS Jupiter,2021,55000,Ghaziabad, Uttar Pradesh,India,Scooter,Yes
Kawasaki,Kawasaki Ninja 300R,2016,150000,Hyderabad, Telangana,Japan,Sports,Yes
Royal Enfield,Royal Enfield 2023 Continental GT 650,2023,325000,Solapur, Maharashtra,India,Commuter,Yes
Ola Electric,Ola S1 Air 3kWh,2024,99000,Vadodara, Gujarat,India,Electric,Yes
Yamaha,Yamaha Fascino S,2022,69000,Tiruchirappalli, Tamil Nadu,Japan,Scooter,Yes
Jawa,Jawa forty two,2019,115000,Medchal-Malkajgiri, Telangana,Czech Republic,Commuter,Yes
Bajaj,Bajaj Pulsar NS 160 BS6,2021,75000,Mangalore, Karnataka,India,Commuter,Yes
TVS,TVS iQube S,2022,85000,Bangalore, Karnataka,India,Electric,Yes
Hero,Hero Xtreme,2016,45000,Gondia, Maharashtra,India,Commuter,Yes
TVS,TVS,2019,45000,Barnala, Punjab,India,Commuter,Yes
Bajaj,Bajaj Pulsar 135LS,2010,21000,Bangalore, Karnataka,India,Commuter,Yes
Honda,Honda CB Shine SP,2016,35000,Kanpur, Uttar Pradesh,Japan,Commuter,Yes
KTM,KTM RC 200 GP,2023,210000,Tirupati, Andhra Pradesh,Austria,Sports,Yes
KTM,KTM 390 Adventure 2022,2022,315000,Thane, Maharashtra,Austria,Adventure,Yes
Bajaj,Bajaj Pulsar 150 DTSi,2017,45000,Baran, Rajasthan,India,Commuter,Yes
Bajaj,Bajaj Avenger Street 150,2017,42000,Dehradun, Utarakhand,India,Cruiser,Yes
Hero,Hero Maestro Edge 125 BS6,2020,45000,Allahabad, Uttar Pradesh,India,Scooter,Yes
Honda,Honda CB Unicorn 160,2015,40000,Bangalore, Karnataka,Japan,Commuter,Yes
Bajaj,Bajaj Pulsar 125,2021,60000,Pimpri-Chinchwad, Maharashtra,India,Commuter,Yes
Royal Enfield,Royal Enfield Bullet Electra,2021,157000,Azamgarh, Uttar Pradesh,India,Cruiser,Yes
Ola Electric,Ola S1 Pro Gen2,2023,100000,Thane, Maharashtra,India,Electric,Yes
Hero,Hero Passion XTec,2023,70000,Sitapur, Uttar Pradesh,India,Commuter,Yes
TVS,TVS Apache RTR 160 4V,2021,95000,Agra, Uttar Pradesh,India,Commuter,Yes
Yamaha,Yamaha MT-15,2020,100000,Bangalore, Karnataka,Japan,Commuter,Yes
Yamaha,Yamaha FZ-X,2021,70000,Mumbai, Maharashtra,Japan,Commuter,Yes
Honda,Honda Activa 6G Std,2022,78000,Tumkur, Karnataka,Japan,Scooter,Yes
Honda,Honda CBF Stunner,2011,25000,Kheda, Gujarat,Japan,Commuter,Yes
Honda,Honda CB350RS,2022,170000,Hyderabad, Telangana,Japan,Sports,Yes
Hero Cycles,Bicycle Hercules,2023,9500,Ghaziabad, Uttar Pradesh,India,Sports,No
Royal Enfield,Royal Enfield Meteor 350 Supernova,2024,250000,Mumbai, Maharashtra,India,Cruiser,Yes
Yamaha,Yamaha FZ FI V2,2014,32000,Bangalore, Karnataka,Japan,Commuter,Yes
Bajaj,Bajaj Avenger Street 220 BS6,2017,70000,Surat, Gujarat,India,Cruiser,Yes
Honda,Honda Shine 100,2025,68500,Mathura, Uttar Pradesh,Japan,Commuter,Yes
Jawa,Jawa Perak BS6,2022,150000,Ahmedabad, Gujarat,Czech Republic,Commuter,Yes
KTM,KTM Duke 390,2022,250000,Bangalore, Karnataka,Austria,Sports,Yes
Harley,Harley Davidson Fat Bob,2022,1500000,West Delhi, Delhi,USA,Commuter,Yes
Yamaha,Yamaha Cygnus Ray ZR Street Rally,2018,45000,Indore, Madhya Pradesh,Japan,Scooter,Yes
Ola Electric,Ola S1 Pro Gen2,2024,100000,North East Delhi, Delhi,India,Electric,Yes
Yamaha,Yamaha R15 V4,2023,175000,Chengalpattu, Tamil Nadu,Japan,Sports,Yes
Hero,Hero Maestro Edge,2016,50000,Hyderabad, Telangana,India,Scooter,Yes
Yamaha,Yamaha FZ-S,2017,45000,Bhubaneshwar, Orissa,Japan,Commuter,Yes
Hero,Hero Pleasure,2013,20500,Ghaziabad, Uttar Pradesh,India,Scooter,Yes
Hero,Hero Maestro Edge,2018,27000,Gurgaon, Haryana,India,Scooter,Yes
Jawa,Jawa Jawa,2021,130000,Angul, Orissa,Czech Republic,Commuter,Yes
Yamaha,Yamaha FZ-S FI V3 BS6,2019,60000,Pune, Maharashtra,Japan,Commuter,Yes
Yamaha,Yamaha YZF R15 V3,2018,110000,Pune, Maharashtra,Japan,Sports,Yes
Royal Enfield,Royal Enfield Classic Battle Green,2021,220000,Bangalore, Karnataka,India,Cruiser,Yes
Jawa,Jawa 42 Dual Channel ABS AllStar Black,2021,100001,Howrah, West Bengal,Czech Republic,Commuter,Yes
Bajaj,Bajaj Pulsar 150 Twin Disc BS6,2021,70000,Hyderabad, Telangana,India,Commuter,Yes
Hero,Hero Xtreme 160R 4V Connected 2.0,2024,120000,Kolkata, West Bengal,India,Commuter,Yes
Royal Enfield,Royal Enfield Bullet Standard 350,2020,150000,South Delhi, Delhi,India,Cruiser,Yes
TVS,TVS Raider Split Seat,2022,70000,Jaipur, Rajasthan,India,Commuter,Yes
Hero,Hero Xtreme,2011,18700,Gurgaon, Haryana,India,Commuter,Yes
Bajaj,Bajaj Pulsar 150,2011,18000,Shahdara, Delhi,India,Commuter,Yes
KTM,KTM Duke 390,2016,89000,Jaipur, Rajasthan,Austria,Sports,Yes
Ola Electric,Ola S1 Air 3kWh,2023,75000,Palghar, Maharashtra,India,Electric,Yes
Bajaj,Bajaj Dominar 250,2021,130000,Hyderabad, Telangana,India,Commuter,Yes
Yamaha,Yamaha YZF R15 V3 BS6,2021,110000,Hyderabad, Telangana,Japan,Sports,Yes
Ola Electric,Ola S1 Pro Gen2,2023,65000,Dharwad, Karnataka,India,Electric,Yes
Bajaj,Bajaj Pulsar 200 NS,2017,75000,Bangalore, Karnataka,India,Commuter,Yes
BMW,BMW G 310 RR,2022,225000,Chennai, Tamil Nadu,Germany,Sports,Yes
Yezdi,Yezdi Roadster Dark,2023,180000,Chennai, Tamil Nadu,India,Cruiser,Yes
KTM,KTM RC 200,2019,125000,Palwal, Haryana,Austria,Sports,Yes
Suzuki,Suzuki Gixxer 150,2017,65000,Howrah, West Bengal,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Classic 350,2016,110000,Kolkata, West Bengal,India,Cruiser,Yes
Bajaj,Bajaj Avenger Street 160,2021,68000,Thane, Maharashtra,India,Cruiser,Yes
Hero,Hero Maestro Edge,2016,18000,East Delhi, Delhi,India,Scooter,Yes
Yamaha,Yamaha FZ25,2017,60000,Kolkata, West Bengal,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Himalayan 450,2024,275000,Pondicherry, Pondicherry,India,Adventure,Yes
Bajaj,Bajaj Pulsar 150 DTSi,2014,30000,Howrah, West Bengal,India,Commuter,Yes
Honda,Honda Hness CB 350,2021,150000,Gautam Buddha Nagar, Uttar Pradesh,Japan,Commuter,Yes
TVS,TVS iQube Electric,2023,85000,New Delhi, Delhi,India,Electric,Yes
Hero,Hero Pleasure,2017,44999,Gandhinagar, Gujarat,India,Scooter,Yes
Hero,Hero Glamour Xtec,2021,60000,Nellore, Andhra Pradesh,India,Commuter,Yes
Ampere Electric,Ampere Magnus Ex,2023,35000,Mumbai, Maharashtra,India,Electric,Yes
Yamaha,Yamaha YZF R15 V3,2018,120000,Pimpri-Chinchwad, Maharashtra,Japan,Sports,Yes
KTM,KTM RC 125 2020,2020,125000,Rewa, Madhya Pradesh,Austria,Sports,Yes
Bajaj,Bajaj Pulsar 150 DTSi,2020,60000,Mumbai, Maharashtra,India,Commuter,Yes
Honda,Honda Activa,2008,20000,Pune, Maharashtra,Japan,Scooter,Yes
Vida (by Hero),Vida V1 Plus,2024,100000,Ahmednagar, Maharashtra,India,Commuter,Yes
Jawa,Jawa  2024,2024,230000,Vadodara, Gujarat,Czech Republic,Commuter,Yes
Honda,Honda Aviator,2011,15000,Chennai, Tamil Nadu,Japan,Commuter,Yes
TVS,TVS Apache RTR 180 ABS,2017,44000,Chennai, Tamil Nadu,India,Commuter,Yes
Honda,Honda Livo 110,2017,40000,Indore, Madhya Pradesh,Japan,Commuter,Yes
Honda,Honda Shine 125 Disc,2015,45000,Bangalore, Karnataka,Japan,Commuter,Yes
Yamaha,Yamaha Fascino,2019,50000,Tiruvallur, Tamil Nadu,Japan,Scooter,Yes
Royal Enfield,Royal Enfield Bullet 350,2015,110000,Gonda, Uttar Pradesh,India,Cruiser,Yes
BMW,BMW G 310 GS BS6,2020,290000,Hyderabad, Telangana,Germany,Sports,Yes
Royal Enfield,Royal Enfield Thunderbird 350,2015,140000,Pune, Maharashtra,India,Commuter,Yes
Royal Enfield,Royal Enfield Hunter 350 Retro,2023,160000,Vijayawada, Andhra Pradesh,India,Commuter,Yes
Royal Enfield,Royal Enfield Thunderbird X 350,2018,130000,Pathanamthitta, Kerala,India,Commuter,Yes
Honda,Honda Activa 3G,2015,35000,Pune, Maharashtra,Japan,Scooter,Yes
Royal Enfield,Royal Enfield Classic 350,2015,80000,New Delhi, Delhi,India,Cruiser,Yes
Royal Enfield,Royal Enfield Bullet Electra 5S,2012,100000,Mumbai, Maharashtra,India,Cruiser,Yes
Honda,Honda Livo Disc,2013,40000,Farrukhabad, Uttar Pradesh,Japan,Commuter,Yes
Bajaj,Bajaj Dominar 250,2020,120000,Kozhikode, Kerala,India,Commuter,Yes
Hero,Hero Xpulse 200 4V,2022,135000,Surat, Gujarat,India,Adventure,Yes
Bajaj,Bajaj Pulsar 150 DTSi,2015,45000,Thane, Maharashtra,India,Commuter,Yes
Royal Enfield,Royal Enfield Bullet Standard 350,1997,120000,Chennai, Tamil Nadu,India,Cruiser,Yes
KTM,KTM Duke 250 2025,2025,230000,New Delhi, Delhi,Austria,Sports,Yes
Royal Enfield,Royal Enfield Himalayan Sleet,2019,139000,Gautam Buddha Nagar, Uttar Pradesh,India,Adventure,Yes
Royal Enfield,Royal Enfield Guerrilla 450 Flash,2025,280000,Greater Noida, Uttar Pradesh,India,Sports,Yes
TVS,TVS Jupiter ZX SmartXonnect,2022,75000,Bangalore, Karnataka,India,Scooter,Yes
Ola Electric,Ola S1 Pro Gen2,2024,90000,Surendranagar, Gujarat,India,Electric,Yes
Bajaj,Bajaj Avenger 200 DTS-i,2010,40000,Hyderabad, Telangana,India,Cruiser,Yes
Yamaha,Yamaha Fazer FI V2,2014,28000,Mumbai, Maharashtra,Japan,Commuter,Yes
Honda,Honda Activa 5G,2019,49999,Mohali, Punjab,Japan,Scooter,Yes
Hero,Hero Pleasure,2015,23000,Kolkata, West Bengal,India,Scooter,Yes
Royal Enfield,Royal Enfield Bullet Standard 350,2019,130000,Surat, Gujarat,India,Cruiser,Yes
TVS,TVS Jupiter 125,2022,70000,Nagpur, Maharashtra,India,Scooter,Yes
Triumph,Triumph Speed 400,2023,240000,Hyderabad, Telangana,UK,Sports,Yes
Bajaj,Bajaj Pulsar 150,2013,25000,Kabirdham, Chhattisgarh,India,Commuter,Yes
Jitendra EV,Jitendra JMT Classic City,2023,38000,Mumbai, Maharashtra,India,Cruiser,Yes
Hero,Hero CBZ,2011,20000,Mumbai, Maharashtra,India,Commuter,Yes
TVS,TVS Jupiter 125,2017,35000,South West Delhi, Delhi,India,Scooter,Yes
Bajaj,Bajaj Pulsar P150,2023,85000,Kottayam, Kerala,India,Commuter,Yes
Honda,Honda Activa 3G,2015,35000,Dehradun, Utarakhand,Japan,Scooter,Yes
Bajaj,Bajaj Avenger Cruise 220,2016,65000,Jodhpur, Rajasthan,India,Cruiser,Yes
Mahindra,Mahindra Centuro O1,2014,30000,New Delhi, Delhi,India,Commuter,Yes
Hero,Hero HF Deluxe,2017,60000,Belgaum, Karnataka,India,Commuter,Yes
Revolt Motors,Revolt RV400 BRZ,2025,120000,Central Delhi, Delhi,India,Electric,Yes
Revolt Motors,Revolt RV 400,2022,100000,Chennai, Tamil Nadu,India,Electric,Yes
Yamaha,Yamaha Fazer,2013,47000,Vadodara, Gujarat,Japan,Commuter,Yes
Honda,Honda Unicorn,2011,25000,Mumbai, Maharashtra,Japan,Commuter,Yes
Hero,Hero HF Deluxe i3s,2020,40000,South 24 Parganas, West Bengal,India,Commuter,Yes
Hero,Hero Super Splendor XTEC,2023,70000,Ahmedabad, Gujarat,India,Commuter,Yes
KTM,KTM Duke 250,2022,185000,Jhabua, Madhya Pradesh,Austria,Sports,Yes
Triumph,Triumph Speed 400,2023,215000,Chennai, Tamil Nadu,UK,Sports,Yes
Royal Enfield,Royal Enfield Thunderbird TwinSpark 350,2012,55000,Hosur, Tamil Nadu,India,Commuter,Yes
TVS,TVS Ronin TD,2022,160000,Bangalore, Karnataka,India,Adventure,Yes
Honda,Honda CB350 Brigade,2024,190000,Chengalpattu, Tamil Nadu,Japan,Commuter,Yes
TVS,TVS Apache RTR 160 4V,2022,70000,Mandya, Karnataka,India,Commuter,Yes
Suzuki,Suzuki Access 125,2013,10000,Gandhinagar, Gujarat,Japan,Commuter,Yes
TVS,TVS Ronin TD Special Edition,2025,170000,Paschim Bardhaman, West Bengal,India,Adventure,Yes
Royal Enfield,Royal Enfield Thunderbird X 350,2018,100000,North Delhi, Delhi,India,Commuter,Yes
Harley,Harley Davidson X440 S,2024,260000,Etawah, Uttar Pradesh,USA,Commuter,Yes
Bajaj,Bajaj Avenger Street 160,2021,70000,Lucknow, Uttar Pradesh,India,Cruiser,Yes
Royal Enfield,Royal Enfield Continental GT 650,2025,410000,Chennai, Tamil Nadu,India,Commuter,Yes
Hero,Hero HF Deluxe,2020,44000,Saharanpur, Uttar Pradesh,India,Commuter,Yes
Bajaj,Bajaj Avenger Street 160,2020,42000,Buxar, Bihar,India,Cruiser,Yes
Honda,Honda Activa 6G Dlx,2023,75000,Pune, Maharashtra,Japan,Scooter,Yes
Royal Enfield,Royal Enfield Meteor 350 Fireball,2025,220000,Mysore, Karnataka,India,Cruiser,Yes
Royal Enfield,Royal Enfield Continental GT 650 Twin,2022,320000,Hooghly, West Bengal,India,Commuter,Yes
KTM,KTM RC 200,2018,90000,Ujjain, Madhya Pradesh,Austria,Sports,Yes
Yamaha,Yamaha SZ-R,2011,15000,Indore, Madhya Pradesh,Japan,Commuter,Yes
Jawa,Jawa Jawa,2020,65000,Howrah, West Bengal,Czech Republic,Commuter,Yes
River Mobility,River Indie 2024,2024,115000,Bangalore, Karnataka,India,Commuter,Yes
Suzuki,Suzuki Burgman Street Ride Connect Edition,2023,90000,Thane, Maharashtra,Japan,Scooter,Yes
Honda,Honda Shine 125 Drum OBD2,2025,80000,Ghaziabad, Uttar Pradesh,Japan,Commuter,Yes
Bajaj,Bajaj Pulsar NS 160 BS6,2025,130000,Simdega, Jharkhand,India,Commuter,Yes
Bajaj,Bajaj Avenger Cruise 220,2018,75000,North East Delhi, Delhi,India,Cruiser,Yes
Suzuki,Suzuki Gixxer SF,2025,170000,Meerut, Uttar Pradesh,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Classic 350,2016,125000,Vadodara, Gujarat,India,Cruiser,Yes
Yamaha,Yamaha FZ-S FI V2,2015,50000,Mumbai, Maharashtra,Japan,Commuter,Yes
Bajaj,Bajaj Discover 100,2015,15000,Mangalore, Karnataka,India,Commuter,Yes
Benelli,Benelli Imperiale 400 BS6,2020,180000,Daman, Daman n Diu,Italy,Cruiser,Yes
Suzuki,Suzuki Access 125,2011,17000,Palghar, Maharashtra,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Thunderbird X 350,2019,100000,Ernakulam, Kerala,India,Commuter,Yes
Hero,Hero HF Deluxe ECO,2024,50000,Lucknow, Uttar Pradesh,India,Commuter,Yes
Honda,Honda Activa 5G,2018,35000,West Delhi, Delhi,Japan,Scooter,Yes
Yamaha,Yamaha FZ-S FI V3 BS6,2021,80000,North West Delhi, Delhi,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Classic 350,2018,90000,New Delhi, Delhi,India,Cruiser,Yes
Ola Electric,Ola S1 X Gen 3 4kWh,2025,100000,Pune, Maharashtra,India,Electric,Yes
Bajaj,Bajaj Avenger Cruise 220 BS6,2021,85000,North 24 Parganas, West Bengal,India,Cruiser,Yes
Bajaj,Bajaj Pulsar N160 Dual Channel ABS,2023,120000,Gurgaon, Haryana,India,Commuter,Yes
Yamaha,Yamaha FZ-S FI V3,2019,70000,Pimpri-Chinchwad, Maharashtra,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Classic 350 BS VI,2021,210000,Jaipur, Rajasthan,India,Cruiser,Yes
BMW,BMW G 310 RR,2024,250000,Mumbai, Maharashtra,Germany,Sports,Yes
TVS,TVS Apache RTR 180,2015,25000,Chengalpattu, Tamil Nadu,India,Commuter,Yes
Honda,Honda Shine 125,2017,25000,Lucknow, Uttar Pradesh,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Himalayan BS VI,2020,165000,Tiruchirappalli, Tamil Nadu,India,Adventure,Yes
Yamaha,Yamaha Aerox 155 Version S 2025,2025,130000,Hooghly, West Bengal,Japan,Sports,Yes
BMW,BMW G 310 GS,2021,320000,Sangareddy, Telangana,Germany,Sports,Yes
Hero,Hero CBZ Xtreme,2011,25000,Pune, Maharashtra,India,Commuter,Yes
Bajaj,Bajaj Dominar 250,2020,100000,New Delhi, Delhi,India,Commuter,Yes
Bajaj,Bajaj Pulsar 125,2020,50000,Gurgaon, Haryana,India,Commuter,Yes
Yamaha,Yamaha FZ-S,2016,40000,Mahisagar, Gujarat,Japan,Commuter,Yes
Ola Electric,Ola S1X 4 kWh,2024,79000,South Delhi, Delhi,India,Electric,Yes
